epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.297,1.93306,1.85388,0.89023,0,0,0,0,5.11255,6.24394,1.09999,0.00039886,0.00039886,0.0671605
2,632.088,1.75999,1.08638,0.86002,0,0,0,0,4.64671,6.41302,1.12868,0.000719773,0.000719773,0.0341481
3,945.872,1.65349,1.00105,0.84901,0,0,0,0,5.12745,8.02326,1.11936,0.000961486,0.000961486,0.00105645
4,1259.99,1.51513,0.88073,0.84595,0,0,0,0,4.18099,5.75339,0.98479,0.0008436,0.0008436,0.0008436
